order_id,customer_id,product_id,quantity,order_date,status,last_modified
103043,62,72,1,2026-07-01,completed,2026-07-01T06:00:00
103044,412,100,2,2026-07-07,refunded,2026-07-07T21:00:00
103045,422,57,3,2026-07-13,cancelled,2026-07-13T05:00:00
103046,224,20,1,2026-07-29,completed,2026-07-29T12:00:00
103047,269,31,2,2026-07-19,cancelled,2026-07-19T02:00:00
103048,30,35,4,2026-07-01,cancelled,2026-07-01T01:00:00
103049,160,43,5,2026-07-14,completed,2026-07-14T03:00:00
103050,408,15,1,2026-07-25,cancelled,2026-07-25T02:00:00
103051,342,60,1,2026-07-19,completed,2026-07-19T15:00:00
103052,384,84,3,2026-07-02,refunded,2026-07-02T00:00:00
103053,394,71,1,2026-07-08,refunded,2026-07-08T17:00:00
103054,440,91,3,2026-07-25,refunded,2026-07-25T22:00:00
103055,128,86,1,2026-07-01,completed,2026-07-01T10:00:00
103056,22,33,5,2026-07-26,refunded,2026-07-26T05:00:00
103057,414,76,3,2026-07-17,refunded,2026-07-17T01:00:00
103058,476,51,5,2026-07-27,refunded,2026-07-27T15:00:00
103059,115,83,1,2026-07-16,completed,2026-07-16T20:00:00
103060,225,88,1,2026-07-15,cancelled,2026-07-15T18:00:00
103061,285,96,3,2026-07-13,completed,2026-07-13T19:00:00
103062,490,13,2,2026-07-14,completed,2026-07-14T12:00:00
103063,488,7,4,2026-07-16,cancelled,2026-07-16T09:00:00
103064,128,30,2,2026-07-19,completed,2026-07-19T08:00:00
103065,108,95,5,2026-07-14,refunded,2026-07-14T05:00:00
103066,299,73,1,2026-07-20,refunded,2026-07-20T09:00:00
103067,35,92,3,2026-07-15,completed,2026-07-15T00:00:00
103068,435,85,2,2026-07-29,completed,2026-07-29T13:00:00
103069,27,66,4,2026-07-07,refunded,2026-07-07T14:00:00
103070,55,12,4,2026-07-28,completed,2026-07-28T05:00:00
103071,339,86,1,2026-07-27,completed,2026-07-27T05:00:00
103072,484,11,2,2026-07-04,completed,2026-07-04T17:00:00
103073,385,79,5,2026-07-22,refunded,2026-07-22T22:00:00
103074,454,100,5,2026-07-20,cancelled,2026-07-20T16:00:00
103075,460,15,1,2026-07-29,cancelled,2026-07-29T04:00:00
103076,375,69,5,2026-07-31,refunded,2026-07-31T00:00:00
103077,476,85,5,2026-07-31,completed,2026-07-31T09:00:00
103078,497,70,4,2026-07-27,completed,2026-07-27T02:00:00
103079,71,21,1,2026-07-10,cancelled,2026-07-10T17:00:00
103080,268,66,2,2026-07-31,refunded,2026-07-31T11:00:00
103081,192,57,1,2026-07-15,refunded,2026-07-15T16:00:00
103082,416,4,3,2026-07-06,refunded,2026-07-06T01:00:00
103083,243,41,4,2026-07-02,completed,2026-07-02T13:00:00
103084,432,25,4,2026-07-27,refunded,2026-07-27T05:00:00
103085,305,52,1,2026-07-03,completed,2026-07-03T09:00:00
103086,262,64,5,2026-07-30,completed,2026-07-30T05:00:00
103087,308,86,4,2026-07-26,refunded,2026-07-26T05:00:00
103088,78,60,4,2026-07-29,refunded,2026-07-29T16:00:00
103089,477,62,1,2026-07-31,completed,2026-07-31T21:00:00
103090,182,30,1,2026-07-02,completed,2026-07-02T18:00:00
103091,405,75,4,2026-07-29,completed,2026-07-29T02:00:00
103092,23,64,5,2026-07-12,completed,2026-07-12T13:00:00
103093,146,87,5,2026-07-06,refunded,2026-07-06T15:00:00
103094,371,49,3,2026-07-08,completed,2026-07-08T10:00:00
103095,298,85,4,2026-07-25,completed,2026-07-25T14:00:00
103096,24,78,4,2026-07-10,completed,2026-07-10T20:00:00
103097,193,50,5,2026-07-27,completed,2026-07-27T19:00:00
103098,480,79,4,2026-07-24,completed,2026-07-24T08:00:00
103099,262,40,2,2026-07-09,completed,2026-07-09T14:00:00
103100,79,72,3,2026-07-15,completed,2026-07-15T00:00:00
103101,82,46,5,2026-07-13,completed,2026-07-13T04:00:00
103102,209,36,5,2026-07-27,refunded,2026-07-27T20:00:00
103103,258,74,2,2026-07-05,completed,2026-07-05T00:00:00
103104,273,90,5,2026-07-18,completed,2026-07-18T12:00:00
103105,451,56,2,2026-07-20,completed,2026-07-20T01:00:00
103106,78,97,5,2026-07-13,cancelled,2026-07-13T15:00:00
103107,35,55,1,2026-07-20,refunded,2026-07-20T18:00:00
103108,46,39,1,2026-07-27,completed,2026-07-27T02:00:00
103109,301,97,2,2026-07-27,completed,2026-07-27T03:00:00
103110,328,21,2,2026-07-22,cancelled,2026-07-22T19:00:00
103111,110,61,4,2026-07-04,completed,2026-07-04T07:00:00
103112,128,6,3,2026-07-11,completed,2026-07-11T05:00:00
103113,49,52,3,2026-07-18,completed,2026-07-18T16:00:00
103114,185,36,3,2026-07-30,cancelled,2026-07-30T05:00:00
103115,64,79,1,2026-07-05,cancelled,2026-07-05T08:00:00
103116,17,25,3,2026-07-11,completed,2026-07-11T20:00:00
103117,214,52,1,2026-07-01,cancelled,2026-07-01T18:00:00
103118,248,96,1,2026-07-25,refunded,2026-07-25T23:00:00
103119,133,77,5,2026-07-05,refunded,2026-07-05T22:00:00
103120,323,6,5,2026-07-25,refunded,2026-07-25T17:00:00
103121,2,52,4,2026-07-31,refunded,2026-07-31T23:00:00
103122,140,11,4,2026-07-05,completed,2026-07-05T03:00:00
103123,435,14,2,2026-07-14,completed,2026-07-14T16:00:00
103124,471,51,4,2026-07-20,completed,2026-07-20T05:00:00
103125,316,85,5,2026-07-18,refunded,2026-07-18T13:00:00
103126,358,75,4,2026-07-26,refunded,2026-07-26T07:00:00
103127,160,65,4,2026-07-18,refunded,2026-07-18T14:00:00
103128,457,12,3,2026-07-10,completed,2026-07-10T22:00:00
103129,161,85,1,2026-07-19,completed,2026-07-19T08:00:00
103130,70,93,5,2026-07-04,completed,2026-07-04T19:00:00
103131,400,62,3,2026-07-02,completed,2026-07-02T21:00:00
103132,456,89,1,2026-07-23,completed,2026-07-23T12:00:00
103133,243,11,4,2026-07-04,completed,2026-07-04T02:00:00
103134,276,97,5,2026-07-08,cancelled,2026-07-08T19:00:00
103135,161,32,4,2026-07-07,completed,2026-07-07T13:00:00
103136,297,34,3,2026-07-04,completed,2026-07-04T16:00:00
103137,195,63,1,2026-07-20,completed,2026-07-20T01:00:00
103138,336,84,5,2026-07-01,completed,2026-07-01T19:00:00
103139,153,68,5,2026-07-26,completed,2026-07-26T04:00:00
103140,151,49,4,2026-07-06,completed,2026-07-06T01:00:00
103141,442,72,5,2026-07-26,cancelled,2026-07-26T23:00:00
103142,211,7,3,2026-07-14,cancelled,2026-07-14T15:00:00
103143,8,40,3,2026-07-09,cancelled,2026-07-09T05:00:00
103144,251,97,4,2026-07-28,completed,2026-07-28T11:00:00
103145,293,58,3,2026-07-18,completed,2026-07-18T00:00:00
103146,99,65,5,2026-07-31,completed,2026-07-31T07:00:00
103147,125,48,3,2026-07-14,cancelled,2026-07-14T04:00:00
103148,402,17,2,2026-07-29,cancelled,2026-07-29T12:00:00
103149,149,7,1,2026-07-11,cancelled,2026-07-11T22:00:00
103150,310,78,3,2026-07-21,completed,2026-07-21T10:00:00
103151,5,89,4,2026-07-30,completed,2026-07-30T01:00:00
103152,61,23,2,2026-07-28,completed,2026-07-28T05:00:00
103153,220,62,4,2026-07-06,completed,2026-07-06T14:00:00
103154,392,41,5,2026-07-13,completed,2026-07-13T04:00:00
103155,54,11,2,2026-07-13,completed,2026-07-13T00:00:00
103156,48,48,5,2026-07-23,completed,2026-07-23T03:00:00
103157,328,50,1,2026-07-18,completed,2026-07-18T16:00:00
103158,8,14,4,2026-07-25,refunded,2026-07-25T17:00:00
103159,247,92,4,2026-07-17,refunded,2026-07-17T12:00:00
103160,448,11,2,2026-07-05,refunded,2026-07-05T06:00:00
103161,228,2,3,2026-07-20,cancelled,2026-07-20T11:00:00
103162,210,34,2,2026-07-05,cancelled,2026-07-05T22:00:00
103163,374,15,2,2026-07-03,completed,2026-07-03T04:00:00
103164,129,30,4,2026-07-07,completed,2026-07-07T16:00:00
103165,178,90,5,2026-07-08,cancelled,2026-07-08T13:00:00
103166,25,60,5,2026-07-28,completed,2026-07-28T17:00:00
103167,87,48,3,2026-07-27,refunded,2026-07-27T20:00:00
103168,66,16,5,2026-07-06,completed,2026-07-06T09:00:00
103169,450,33,3,2026-07-17,completed,2026-07-17T10:00:00
103170,347,55,3,2026-07-02,completed,2026-07-02T01:00:00
103171,147,84,4,2026-07-21,completed,2026-07-21T11:00:00
103172,446,26,1,2026-07-24,completed,2026-07-24T04:00:00
103173,79,92,4,2026-07-05,completed,2026-07-05T06:00:00
103174,315,98,4,2026-07-25,refunded,2026-07-25T17:00:00
103175,231,57,4,2026-07-24,completed,2026-07-24T02:00:00
103176,151,83,2,2026-07-08,cancelled,2026-07-08T21:00:00
103177,99,72,5,2026-07-06,cancelled,2026-07-06T00:00:00
103178,420,10,4,2026-07-22,completed,2026-07-22T05:00:00
103179,336,70,1,2026-07-23,completed,2026-07-23T00:00:00
103180,493,32,1,2026-07-20,completed,2026-07-20T12:00:00
103181,326,25,1,2026-07-11,cancelled,2026-07-11T22:00:00
103182,167,93,5,2026-07-20,refunded,2026-07-20T07:00:00
103183,137,80,2,2026-07-27,completed,2026-07-27T04:00:00
103184,452,40,1,2026-07-28,completed,2026-07-28T07:00:00
103185,404,82,1,2026-07-28,refunded,2026-07-28T22:00:00
103186,447,51,4,2026-07-03,cancelled,2026-07-03T22:00:00
103187,264,9,4,2026-07-17,completed,2026-07-17T09:00:00
103188,131,33,3,2026-07-06,completed,2026-07-06T08:00:00
103189,28,69,2,2026-07-09,refunded,2026-07-09T13:00:00
103190,353,9,4,2026-07-29,refunded,2026-07-29T11:00:00
103191,231,91,5,2026-07-20,completed,2026-07-20T06:00:00
103192,352,84,3,2026-07-01,completed,2026-07-01T20:00:00
103193,64,19,5,2026-07-21,cancelled,2026-07-21T19:00:00
103194,263,85,3,2026-07-31,refunded,2026-07-31T16:00:00
103195,412,80,5,2026-07-24,refunded,2026-07-24T12:00:00
103196,271,66,2,2026-07-14,refunded,2026-07-14T18:00:00
103197,162,62,5,2026-07-02,completed,2026-07-02T09:00:00
103198,54,36,4,2026-07-27,completed,2026-07-27T15:00:00
103199,120,5,1,2026-07-09,refunded,2026-07-09T12:00:00
103200,494,49,3,2026-07-18,completed,2026-07-18T23:00:00
103201,464,27,5,2026-07-09,completed,2026-07-09T04:00:00
103202,84,67,2,2026-07-19,completed,2026-07-19T14:00:00
103203,78,15,5,2026-07-19,cancelled,2026-07-19T03:00:00
103204,472,21,5,2026-07-01,completed,2026-07-01T12:00:00
103205,444,66,1,2026-07-06,refunded,2026-07-06T16:00:00
103206,86,19,1,2026-07-18,completed,2026-07-18T06:00:00
103207,8,24,2,2026-07-27,completed,2026-07-27T03:00:00
103208,9,9,5,2026-07-29,cancelled,2026-07-29T00:00:00
103209,195,15,1,2026-07-15,completed,2026-07-15T13:00:00
103210,306,86,5,2026-07-17,cancelled,2026-07-17T20:00:00
103211,63,2,5,2026-07-23,completed,2026-07-23T12:00:00
103212,97,48,4,2026-07-27,completed,2026-07-27T09:00:00
103213,470,93,2,2026-07-10,refunded,2026-07-10T01:00:00
103214,333,32,1,2026-07-10,refunded,2026-07-10T10:00:00
103215,403,62,3,2026-07-17,cancelled,2026-07-17T01:00:00
103216,329,18,2,2026-07-26,completed,2026-07-26T17:00:00
103217,444,76,3,2026-07-10,completed,2026-07-10T13:00:00
103218,102,94,1,2026-07-02,cancelled,2026-07-02T00:00:00
103219,469,24,1,2026-07-27,completed,2026-07-27T12:00:00
103220,484,43,5,2026-07-27,cancelled,2026-07-27T08:00:00
103221,170,3,1,2026-07-15,cancelled,2026-07-15T02:00:00
103222,200,55,3,2026-07-14,completed,2026-07-14T21:00:00
103223,464,83,4,2026-07-03,completed,2026-07-03T00:00:00
103224,363,12,2,2026-07-10,completed,2026-07-10T02:00:00
103225,278,42,1,2026-07-01,cancelled,2026-07-01T14:00:00
103226,138,99,5,2026-07-20,cancelled,2026-07-20T18:00:00
103227,315,2,3,2026-07-02,refunded,2026-07-02T16:00:00
103228,221,54,5,2026-07-25,completed,2026-07-25T06:00:00
103229,73,49,5,2026-07-10,refunded,2026-07-10T17:00:00
103230,208,21,4,2026-07-19,refunded,2026-07-19T19:00:00
103231,271,30,5,2026-07-15,cancelled,2026-07-15T00:00:00
103232,267,82,5,2026-07-18,completed,2026-07-18T17:00:00
103233,350,85,4,2026-07-16,refunded,2026-07-16T16:00:00
103234,16,48,5,2026-07-03,cancelled,2026-07-03T11:00:00
103235,233,10,5,2026-07-06,cancelled,2026-07-06T11:00:00
103236,12,89,5,2026-07-29,completed,2026-07-29T12:00:00
103237,483,12,2,2026-07-05,cancelled,2026-07-05T00:00:00
103238,392,46,4,2026-07-29,refunded,2026-07-29T22:00:00
103239,426,24,4,2026-07-19,completed,2026-07-19T17:00:00
103240,284,1,5,2026-07-10,completed,2026-07-10T02:00:00
103241,482,10,4,2026-07-30,completed,2026-07-30T04:00:00
103242,161,16,4,2026-07-11,cancelled,2026-07-11T16:00:00
103243,362,12,2,2026-07-15,cancelled,2026-07-15T09:00:00
103244,309,24,1,2026-07-10,completed,2026-07-10T12:00:00
103245,409,83,5,2026-07-18,completed,2026-07-18T21:00:00
103246,312,92,5,2026-07-09,cancelled,2026-07-09T02:00:00
103247,224,35,2,2026-07-31,completed,2026-07-31T04:00:00
103248,483,62,3,2026-07-05,refunded,2026-07-05T19:00:00
103249,231,7,3,2026-07-19,completed,2026-07-19T02:00:00
103250,54,71,3,2026-07-09,completed,2026-07-09T04:00:00
101528,282,92,3,2026-05-24,refunded,2026-08-08T00:00:00
101992,358,57,3,2026-01-24,completed,2026-08-02T00:00:00
100186,351,36,5,2026-05-25,completed,2026-08-07T00:00:00
101307,388,84,1,2026-05-01,completed,2026-08-07T00:00:00
101783,33,23,2,2026-04-01,cancelled,2026-08-06T00:00:00
102072,443,25,2,2026-04-28,completed,2026-08-08T00:00:00
100518,70,96,4,2026-05-20,completed,2026-08-01T00:00:00
100012,415,22,4,2026-01-12,refunded,2026-08-09T00:00:00
102368,375,87,5,2026-01-16,cancelled,2026-08-01T00:00:00
100580,254,57,1,2026-02-21,completed,2026-08-02T00:00:00
101504,251,71,4,2026-06-24,cancelled,2026-08-06T00:00:00
102036,19,69,4,2026-03-05,completed,2026-08-10T00:00:00
100001,191,37,4,2026-04-15,completed,2026-08-08T00:00:00
102910,86,36,5,2026-02-15,completed,2026-08-11T00:00:00
102354,17,17,5,2026-01-03,completed,2026-08-06T00:00:00
100074,238,27,3,2026-06-05,completed,2026-08-07T00:00:00
100204,248,10,3,2026-03-06,completed,2026-08-01T00:00:00
100260,204,28,4,2026-02-24,cancelled,2026-08-06T00:00:00
102590,172,79,4,2026-03-30,completed,2026-08-08T00:00:00
101636,397,22,5,2026-04-07,completed,2026-08-10T00:00:00
100900,355,17,2,2026-02-06,completed,2026-08-04T00:00:00
102885,400,19,1,2026-04-04,completed,2026-08-01T00:00:00
101402,109,67,1,2026-04-07,refunded,2026-08-02T00:00:00
101680,420,9,4,2026-02-12,refunded,2026-08-10T00:00:00
101127,263,14,5,2026-04-19,refunded,2026-08-11T00:00:00
100217,469,11,1,2026-03-05,completed,2026-08-01T00:00:00
101882,302,36,1,2026-03-01,refunded,2026-08-05T00:00:00
100704,351,74,1,2026-01-29,cancelled,2026-08-11T00:00:00
100866,357,24,3,2026-03-17,completed,2026-08-09T00:00:00
100558,136,22,3,2026-04-27,cancelled,2026-08-05T00:00:00
101141,360,57,4,2026-05-01,cancelled,2026-08-06T00:00:00
101926,471,20,1,2026-05-31,cancelled,2026-08-05T00:00:00
100728,466,99,2,2026-06-17,completed,2026-08-11T00:00:00
102061,57,74,3,2026-02-15,completed,2026-08-10T00:00:00
100668,269,88,4,2026-05-22,cancelled,2026-08-08T00:00:00
102294,23,20,2,2026-06-03,refunded,2026-08-10T00:00:00
102503,404,2,1,2026-05-15,cancelled,2026-08-10T00:00:00
101344,357,7,5,2026-06-14,completed,2026-08-07T00:00:00
102954,65,26,5,2026-02-06,refunded,2026-08-03T00:00:00
101147,33,35,4,2026-05-02,cancelled,2026-08-05T00:00:00
100021,192,31,4,2026-01-21,refunded,2026-08-08T00:00:00
100240,72,24,3,2026-04-26,completed,2026-08-07T00:00:00
100365,293,71,4,2026-02-09,cancelled,2026-08-02T00:00:00
101989,483,25,2,2026-03-21,cancelled,2026-08-09T00:00:00
102131,200,89,4,2026-03-05,completed,2026-08-08T00:00:00
102671,320,5,3,2026-03-04,completed,2026-08-05T00:00:00
102117,156,13,4,2026-03-29,cancelled,2026-08-02T00:00:00
100749,47,33,3,2026-06-27,completed,2026-08-02T00:00:00
100660,163,72,3,2026-04-23,completed,2026-08-05T00:00:00
102822,153,31,4,2026-06-20,refunded,2026-08-01T00:00:00
103031,205,36,1,2026-07-04,cancelled,2026-07-04T14:00:00
